Row Labels,Sexual harassment,Violence,Abortion,Marriage Laws & Acts ( Divorce & Dowry),Women -Empowerment,Sexual harassment at work,Abuse of Law,Maternal Health,Menstruation,School Education,entrepreneurship,Sanitation,Sex Work,Girl Child Victim (chilld Marriage + Child Trafficking),Property Rights,Higher Education,Diseases,Moral Policing,Surrogacy / Adoption,Family Planning,Women in Agriculture,(blank),Vocational Education,Gender Inequality at work,Perks & Benefits,Malnutrition,Mortality Rate,Female Infanticide / Foeticide,Sex Education,Grand Total
Shankarrao1753,12,3,1,24,,2,40,,,1,,,1,,,,,,1,,,,,,,,,,,85
BeTrue4Changes,3,2,,17,,,38,,,1,,,,,,,,,,,,,,,,,,,,61
Georgekurian4K,11,8,2,7,1,,1,,2,,,,1,,1,,,,,,,,,1,,,,,,35
IndiaToday,10,2,3,2,1,11,,,3,,,,,,,,,,1,,,,,,,,,,,33
ndtv,6,6,4,3,1,7,,,,,,,,,,,,,,,,,,,,,,,,27
IndianExpress,8,6,3,2,2,3,,,,,,,,,,,1,,,,,,,,,,,,,25
htTweets,8,5,4,,1,3,,,,,,,1,,,,,,1,,,,,,,,,,,23
indiatvnews,7,2,2,2,2,7,,,,1,,,,,,,,,,,,,,,,,,,,23
__mynf,,1,1,,,,21,,,,,,,,,,,,,,,,,,,,,,,23
banerjeerahul,4,9,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,19
NHP_INDIA,,,,,,,,17,,,,,,,,,,,,1,,,,,,,,,,18
AanviFoundation,10,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,18
MoHFW_INDIA,,,,,,,,16,,,,,,,,,,,,1,,,,,,,,,,17
PixelProject,2,1,,,14,,,,,,,,,,,,,,,,,,,,,,,,,17
MinistryWCD,,1,,,4,5,,1,,,3,,,,,,,,1,,,,,,,,,,,15
LambaAlka,7,1,1,2,,,,,,,,,1,,,,,,,,,,,1,,,,,,13
OddNaari,2,,2,,,4,,,1,,,,,,,,,,,,,,,,,,,,,9
Manekagandhibjp,,,,,,1,,1,,,2,,,,,,,,,,,,,,,,,,,4
madhukishwar,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,3
ChangeOrg_India,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2
NanhiKali,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
narendramodi,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
AzmiShabana,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
GNNsdm,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,74
MilindKadam4,3,,,3,,,54,,,,,,,,,,,,,,,,,,,,,,,60
LaxmanUdmale,1,3,,13,,,31,,,1,,,,,,,,,,,,,,,,,,,,49
RaghunathNg,4,2,,13,,,21,,,1,,,,,,,,,1,,,,,,,,,,,42
abuzaidansari,,8,,,,,,,,,,,,,31,,,,,,1,,,,,,,,,40
SachinV95865165,2,2,,7,,,27,,,1,,,,,,,,,,,,,,,,,,,,39
Bis_Sandeep,11,8,3,3,2,8,,,,,,,,,,,,,1,,,,,,,,,,,36
RT_Himachal,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
ShivankDixit15,1,2,,9,1,,20,,,1,,,,,,,,,,,,,,,,,,,,34
mohitsmartlove,11,7,6,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,33
RPMxclusif,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
RaghunathgN,4,2,,8,,,16,,,1,,,,,,,,,1,,,,,,,,,,,32
pkanthi,3,1,,3,,,19,,,,,,,,,,,,1,,,,,,,,,,,27
NewsBossIndia,10,2,3,4,1,2,,,2,1,,,,,,,,,,,,2,,,,,,,,27
rtiindiapy,8,2,6,6,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,26
wisehussein,2,1,,3,,,19,,,,,,,,,,,,,,,,,,,,,,,25
mehrakushal71,2,,,4,,,18,,,1,,,,,,,,,,,,,,,,,,,,25
pickooo,6,3,4,1,1,4,,1,1,,,,,,,1,,,1,,,,,,,,,,,23
HTPunjab,2,3,18,,,,,,,,,,,,,,,,,,,,,,,,,,,23
Vijaykant087,2,1,,4,,1,14,,,,,,,,,,,,,,,,,,,,,,,22
WeForNews,11,3,1,2,,5,,,,,,,,,,,,,,,,,,,,,,,,22
startupcrunch,,,,,1,,,,,,21,,,,,,,,,,,,,,,,,,,22
TimesNow,3,6,3,,,10,,,,,,,,,,,,,,,,,,,,,,,,22
Ashokanews1,11,6,1,,,2,,,,2,,,,,,,,,,,,,,,,,,,,22
timesofindia,10,2,1,2,2,3,,,1,,,,,,,,,,,,,,,,,,,,,21
nasirmobeen2,12,5,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,21
News365247live,10,2,,4,2,2,,,,,,,1,,,,,,,,,,,,,,,,,21
vishalfast007,1,6,6,3,,2,,,2,,,,,,,,,,,,,,,,,,,,,20
mumbai24X7,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,20
amit86736871,2,,,3,,,15,,,,,,,,,,,,,,,,,,,,,,,20
XGirl611,1,,,4,,,13,,,,,,,,,,,,1,,,,,,,,,,,19
NewsExploredWeb,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,19
FinancialXpress,,2,,,,13,,,1,,2,,1,,,,,,,,,,,,,,,,,19
InnovativeHindu,11,,1,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,19
hashlucknow,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
CNNnews18,4,2,3,2,,7,,,,,,,1,,,,,,,,,,,,,,,,,19
ANI,9,,1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,19
thenewsminute,2,1,2,1,,9,,,,,,,,,2,,,,1,,,,,,,,,,,18
namo_namah2,11,1,1,2,,,2,,1,,,,,,,,,,,,,,,,,,,,,18
DVashist15,3,,11,1,,3,,,,,,,,,,,,,,,,,,,,,,,,18
himanshu0070070,2,1,,3,,,12,,,,,,,,,,,,,,,,,,,,,,,18
